peakid,pkname,pkname2,location,heightm,heightf,himal,region,open,unlisted,trekking,trekyear,restrict,phost,pstatus,pyear,pseason,pmonth,pday,pexpid,pcountry,psummiters,psmtnote
LSIS,Langshisa Ri,Langsisa Ri,Jugal Himal (NW of Dorje Lhakpa),6412,21037,Jugal,Langtang-Jugal,FALSE,FALSE,TRUE,2002,Converted to trekking peak in 2002,Nepal only,Climbed,1982,Spring,Apr,23,LSIS82101,"Japan, Nepal","Takuya Kajimoto, Pasang Norbu Sherpa",
LUGU,Lugula,,Damodar Himal (E of Bhrikuti Sail on Tibetan border),6899,22635,Damodar,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,,Opened in 2014,Nepal & China,Climbed,2010,Autumn,Nov,2,LUGU10301,France,Renald Guillaune,1st official ascent in Spring 2014 by S Koreans
LUN2,Lunag II,,Rolwaling Himal (SW of Nangpa La near Tibetan border),6812,22349,Rolwaling,Khumbu-Rolwaling-Makalu,FALSE,TRUE,FALSE,,Requires permit for Jobo Rinjang,Nepal only,Climbed,2010,Autumn,Oct,26,LUN210301,France,"Mathieu Detrie, Max Belleville, Mathiew Maynadier, Sebastien Ratel",
LUNG,Lungchhung,,Palchung Himal (NE of Kanjiroba on Tibetan border),6043,19826,Kanti/Palchung,Kanjiroba-Far West,TRUE,FALSE,FALSE,,Opened in 2014,Nepal & China,Unclimbed,,,,,,,Unclimbed,
LUNR,Lunag Ri,"Lunag I, Rongshar Ri I, Ondrej Peak",Rolwaling Himal (SW of Nangpa La on Tibetan border),6895,22621,Rolwaling,Khumbu-Rolwaling-Makalu,FALSE,TRUE,FALSE,,Requires permit for Jobo Rinjang,Nepal & China,Unclimbed,,,,,,,Unclimbed,
LUNW,Lunag West,,Rolwaling Himal (W of Lunag I on Tibetan border),6492,21299,Rolwaling,Khumbu-Rolwaling-Makalu,FALSE,TRUE,FALSE,,Requires permit for Jobo Rinjang,Nepal & China,Climbed,2013,Autumn,Oct,22,LUNW13301,USA,"Scott Adamson, Chris Wright",
LUZA,Luza,,Khumbu Himal (SW of Gokyo Lake),5710,18734,Khumbu,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,Opened in 2002,Nepal only,Climbed,2020,Winter,Dec,17,LUZA20401,Nepal,"Pemba Sherpa, Lakpa Gyaljen Sherpa, Urken Lendu Sherpa",
MACH,Machhapuchhare,,Annapurna Himal (SE of Annapurna III),6993,22943,Annapurna,Annapurna-Damodar-Peri,FALSE,TRUE,FALSE,,Closed,Nepal only,Unclimbed,,,,,,,Unclimbed,Rumored that one New Zealander (Bill Denz) summited by the N Ridge-NE Face route in the late 1970s
MAK2,Makalu II,Kangchungtse,Makalu Himal (NNW of Makalu on Tibetan border),7678,25190,Makalu,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,,Nepal & China,Climbed,1954,Autumn,Oct,22,MAK254301,"UK, Nepal","Jean Franco, Lionel Terray, Gyaltsen Norbu Sherpa, Pa Norbu Sherpa",
MAKA,Makalu,,Makalu Himal,8485,27838,Makalu,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,,Nepal & China,Climbed,1955,Spring,May,15,MAKA55101,France,"Jean Couzy, Lionel Terray",
MALA,Malanphulan,"Melanphulan, Malangphulang, Hinku Ri","Khumbu Himal (S of Ama Dablam, NW of Kangtega)",6573,21565,Khumbu,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,Opened in 2014,Nepal only,Climbed,2000,Spring,Apr,28,MALA00101,USA,"Peter Carse, Amy Bullard",
MANA,Manaslu,"Kutang I, Peak 30",Manaslu Himal,8163,26781,Manaslu/Mansiri,Manaslu-Ganesh,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1956,Spring,May,9,MANA56101,"Japan, Nepal","Toshio Imanishi, Gyaltsen Norbu Sherpa",
MANN,Manaslu North,Manaslu II,Manaslu Himal (N of Manaslu),6994,22946,Manaslu/Mansiri,Manaslu-Ganesh,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1964,Autumn,Oct,25,MANN64301,"Netherlands, Austria, Nepal","Alfons Driessen, Jan De Lint, Hubert Schriebl, Ila Tshering Sherpa, Nima Tenzing Sherpa",1st ascent disputed by Anders Bolinder
MANP,Manapathi,,Dhaulagiri Himal (SSW of Dhaulagiri I),6380,20932,Dhaulagiri,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1956,Spring,Apr,25,MANP56101,"Argentina, Nepal","Emiliano Huerta, Ayiwa Sherpa",1st ascent?
MARD,Mardi Himal,,Annapurna Himal (SW of Machhapuchhare),5553,18219,Annapurna,Annapurna-Damodar-Peri,FALSE,FALSE,TRUE,1978,,Nepal only,Climbed,1962,Spring,Apr,23,MARD62101,"UK, Nepal","J. O. M. Roberts, Ang Tshering Sherpa, Tenzing Nindra Sherpa",
MARI,Mariyang,,Kanti Himal (SE of Kanti Himal on Tibetan border),6528,21417,Kanti/Palchung,Kanjiroba-Far West,TRUE,FALSE,FALSE,,Opened in 2003,Nepal & China,Climbed,2021,Autumn,Oct,9,MARI21301,"S Korea, Nepal","Baek Jong-Min, Joung Je-Gyun, Jung Jae-Jin, Ongchhu Sherpa",
MARW,Mariyang West,,Kanti Himal (WSW of Mariyang on Tibetan border),6455,21178,Kanti/Palchung,Kanjiroba-Far West,TRUE,FALSE,FALSE,,Opened in 2014,Nepal & China,Unclimbed,,,,,,,Unclimbed,
MATA,Matathumba,"Matatumpa, Ghyuthumba East",Jagdula Lekh (S of Kanjiroba Himal),5767,18921,Kanjiroba,Kanjiroba-Far West,FALSE,TRUE,FALSE,,,Nepal only,Climbed,1961,Spring,May,16,MATA61101,"UK, Nepal","John Tyson, James Burnet, John Earle, Mingma Tsering, Ang Temba Sherpa",
MAYT,Mayonthang Kang,Mayun Thang Khang,Kanti Himal (NW of Changdi Himal on Tibetan border),6449,21158,Kanti/Palchung,Kanjiroba-Far West,TRUE,FALSE,FALSE,,Opened in 2014,Nepal & China,Unclimbed,,,,,,,Unclimbed,
MERA,Mera Peak,"""False"" Mera Peak",Khumbu Himal (S of Ama Dablam),6470,21227,Khumbu,Khumbu-Rolwaling-Makalu,FALSE,FALSE,TRUE,1978,,Nepal only,Climbed,1953,Spring,May,,MERA53101,"UK, Nepal","J. O. M. Roberts, Sen Tenzing Sherpa","Climbed ""false Mera"" 6476m?  ""True Mera"" unclimbed?"
MERR,Merra,,Kangchenjunga Himal (WNW of Anidesh Chuli),6334,20781,Kangchenjunga/Simhalila,Kangchenjunga-Janak,TRUE,FALSE,FALSE,,Opened in 2002,Nepal only,Climbed,2006,Autumn,Oct,18,MERR06301,Denmark,Claus Ostergaard,
MERS,Mera South,,Khumbu Himal (SW of Mera),6064,19895,Khumbu,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,Opened in 2002,Nepal only,Unclimbed,,,,,,,Unclimbed?,
META,Metalung,"Kuirhun, Kembalung","Khumbu Himal (in Hongku Valley, SE of Chamlang)",5608,18399,Khumbu,Khumbu-Rolwaling-Makalu,FALSE,TRUE,FALSE,,,Nepal only,Climbed,1954,Spring,Apr,25,,"UK, New Zealand, Nepal","Charles Evans, Geoff Harrow, Purchita Sherpa",NE Ridge from S
MING,Mingbo Ri,,Khumbu Himal (S of Ama Dablam and Mingbo La),6207,20364,Khumbu,Khumbu-Rolwaling-Makalu,FALSE,TRUE,FALSE,,,Nepal only,Unclimbed,,,,,,,Unclimbed,
MNSL,Mansail,Manshail,Mustang Himal (NW of Lo Manthang on Tibetan border),6235,20456,Mukut/Mustang,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,,Opened in 2014,Nepal only,Climbed,2014,Autumn,Sep,29,MNSL14301,Japan,"Yukiko Inoue, Eri Hasegawa, Mariko Nakamura, Kei Taniguchi",
MNSS,Mansail South,Manshail South,Mustang Himal (S of Mansail on Tibetan border),6248,20499,Mukut/Mustang,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,,Opened in 2014,Nepal only,Unclimbed,,,,,,,Unclimbed,
MOJC,Mojca,Mojka,Kangchenjunga Himal (W of Ramtang Chang),6024,19764,Kangchenjunga/Simhalila,Kangchenjunga-Janak,TRUE,FALSE,FALSE,,Opened in 2002,Nepal only,Climbed,1974,Autumn,Oct,11,MOJC74301,Yugoslavia,"Stane Belak, Danilo Cedilnik",Illegal ascent
MPNE,Manapathi NE,,"Dhaulagiri Himal (SSW of Dhaulagiri I, NE of Manapathi)",6384,20945,Dhaulagiri,Dhaulagiri-Mukut,FALSE,TRUE,FALSE,,,Nepal only,Climbed,1977,Spring,Apr,20,MPNE77101,"Italy, UK, W Germany","Reinhold Messner, Leo Dickinson, Eric Jones, Otto Wiedemann",
MUKT,Mukut Himal,"Mukot Himal, Langru","Mukut Himal (N of Sita Chuchura, S of Hongde)",6087,19970,Mukut/Mustang,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,,Opened in 2014,Nepal only,Climbed,1967,Autumn,Nov,11,MUKT67301,"Netherlands, Nepal","Alfons J. Driessen, Michiel van Mourik Broekman, Phu Dorje Sherpa, Tenzing Gyatso Sherpa",1st ascent if team was actually on this peak
MUPK,Mustang Peak,,Mustang Himal (S of Mustang Himal peak on Tibetan border),6229,20436,Mukut/Mustang,Dhaulagiri-Mukut,FALSE,TRUE,FALSE,,,Nepal only,Climbed,2001,Autumn,Oct,7,MUPK01301,"Japan, Nepal","Tomatsu Ohnishi, Koji Mizutani, Takehiko Yanagihara, Katsuhiko Asahi, Mingma Nuru Sherpa, Chuldin Nuru Sherpa, Kancha Dawa Sherpa",Not same peak as Mustang Himal (6195m) on current Ministry list.
MUST,Mustang Himal,,Mustang Himal (S of Mansail on Tibetan border),6195,20325,Mukut/Mustang,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,,Opened in 2014,Nepal only,Climbed,2014,Autumn,Nov,2,MUST14301,USA,"Melissa Arnot, Ben Jones, Jon Mancuso",
MYAG,Myagdi Matha,,Dhaulagiri Himal (S of Dhaulagiri IV),6273,20581,Dhaulagiri,Dhaulagiri-Mukut,FALSE,TRUE,FALSE,,,Nepal only,Unclimbed,,,,,,,Unclimbed?,
NAG1,Nangpai Gosum I,"Nagpai Gosum I, Cho Aui",Khumbu Himal (WSW of Cho Oyu on Tibetan border),7321,24019,Khumbu,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,Opened in 2002,Nepal & China,Climbed,2017,Autumn,Oct,3,NAG117301,Germany,Jost Kobusch,
NAG2,Nangpai Gosum II,"Nagpai Gosum II, Chamar",Khumbu Himal (WSW of Cho Oyu on Tibetan border),7287,23907,Khumbu,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,Opened in 2002,Nepal & China,Unclimbed,,,,,,,Unclimbed,
NALA,Nalakankar North,,Nalakankar Himal (on W Nepal/Tibetan border),6062,19888,Nalakankar/Chandi/Changla,Kanjiroba-Far West,TRUE,FALSE,FALSE,,,Nepal & China,Climbed,2000,Summer,Jul,6,NALA00201,"Japan, Nepal","Takehiko Yanagihara, Ang Phurba Sherpa",
NALS,Nalakankar South,,Nalakankar Himal (on W Nepal/Tibetan border),6024,19764,Nalakankar/Chandi/Changla,Kanjiroba-Far West,FALSE,TRUE,FALSE,,,Nepal & China,Climbed,2000,Summer,Jul,7,NALS00201,"Japan, Nepal","Tamotsu Ohnishi, Takehiko Yanagihara, Chuldim Nuru Sherpa, Kancha Dawa Sherpa",
NAM2,Nampa II,,Api Himal (W of Nampa),6585,21604,Api/Byas Risi/Guras,Kanjiroba-Far West,TRUE,FALSE,FALSE,,Opened in 2002,Nepal only,Unclimbed,,,,,,,Unclimbed,
NAM3,Nampa III,Nampa Chuli,Api Himal (SE of Nampa),6611,21690,Api/Byas Risi/Guras,Kanjiroba-Far West,TRUE,FALSE,FALSE,,Opened in 2002,Nepal only,Unclimbed,,,,,,,Unclimbed,
NAMP,Nampa,Chisel Peak,Api Himal (E of Api),6729,22077,Api/Byas Risi/Guras,Kanjiroba-Far West,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1972,Spring,May,5,NAMP72101,Japan,"Fukutoshi Kimura, Susumu Takahashi",
NAMS,Nampa South,,"Api Himal (S of Nampa, W of Nampa Chuli)",6130,20112,Api/Byas Risi/Guras,Kanjiroba-Far West,TRUE,FALSE,FALSE,,Opened in 2002,Nepal only,Unclimbed,,,,,,,Unclimbed?,
NAN2,Nangamari II,,Ohmi Kangri Himal (S of Nangamari I),6209,20371,Janak/Ohmi Kangri,Kangchenjunga-Janak,TRUE,FALSE,FALSE,,,Nepal only,Climbed,2016,Autumn,Oct,17,NAN216301,Japan,"Tsuneo Shigehiro, Kensuke Iwai, Kiyo Kuroda, Shiro Matsunaka, Yusuke Morimoto, Kanji Totegi, Miyoko Nagase, Masayuki Takenaka, Saori Tatsuno",
NANG,Nangamari I,,Ohmi Kangri Himal (W of Chaw Peak on Tibetan border),6547,21480,Janak/Ohmi Kangri,Kangchenjunga-Janak,TRUE,FALSE,FALSE,,Opened in 2003,Nepal & China,Climbed,2010,Autumn,Nov,5,NANG10301,Australia,"Timothy Macartney-Snape, David Barton",
NAUL,Naulekh,,Khumbu Himal (S of Mera Peak),6340,20801,Khumbu,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,Opened in 2002,Nepal only,Climbed,1954,Spring,Jun,8,NAUL54101,New Zealand,"Colin Todd, Bill Beaven",
NAYA,Naya Kanga,"Kangja Chuli, Ghanja La Chuli",Jugal Himal (W of Ganchempo by Kangja La),5863,19236,Jugal,Langtang-Jugal,FALSE,FALSE,TRUE,1978,,Nepal only,Climbed,,,,,,,1st ascent unknown,
NEMJ,Nemjung,,Peri Himal (S of Himlung Himal and Himjung),7140,23425,Peri,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1983,Autumn,Oct,27,NEMJ83301,"Japan, Nepal","Makito Minami, Wataru Saito, Ken Takahashi, Kirki Lama",
NEPA,Nepal Peak,,Jongsang Himal (N of Kangchenjunga on Indian border),7177,23547,Jongsang,Kangchenjunga-Janak,TRUE,FALSE,FALSE,,,Nepal & India,Climbed,1930,Spring,May,24,NEPA30101,Austria,Erwin Schneider,Schneider may have only gone to the SW Peak (7130m) in which case the first ascent was by the Germans in 1936
NGAP,Nepal Gap Peak,Nepal Gyap Peak,Kangchenjunga Himal (ENE of Gimmegela on Indian border),7007,22989,Kangchenjunga/Simhalila,Kangchenjunga-Janak,TRUE,FALSE,FALSE,,Opened in 2014,Nepal & India,Unclimbed,,,,,,,Unclimbed?,
NGO2,Ngojumba Kang II,,Khumbu Himal (NE of Cho Oyu on Tibetan border),7743,25404,Khumbu,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,,Nepal & China,Climbed,1965,Spring,Apr,24,NGO265101,"Japan, Nepal","Naomi Uemura, Pemba Tenzing Sherpa",
NGO3,Ngojumba Kang III,Hillary Peak,Khumbu Himal (NE of Cho Oyu on Tibetan border),7681,25200,Khumbu,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,Opened in 2014 as Hillary Peak,Nepal & China,Unclimbed,,,,,,,Unclimbed,
NGOF,Nagoru Far East,,Peri Himal (NW of Himlung Himal),6145,20161,Peri,Annapurna-Damodar-Peri,FALSE,TRUE,FALSE,,,Nepal only,Climbed,2018,Spring,May,15,NGOF18101,"Austria, Nepal","Wolfgang Drexler, Martin Thallmair, Lawang Tamang",
NGOJ,Ngojumba Kang I,"Ngozumba Kang, Ngozumba Ri, Tenzing Peak",Khumbu Himal (NE of Cho Oyu on Tibetan border),7916,25971,Khumbu,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,Opened in 2014 as Tenzing Peak,Nepal & China,Climbed,1982,Autumn,Nov,2,NGOJ82302,"S Korea, Nepal","Kim Young-Han, Ang Tshering Sherpa, Dorje Sherpa",
NGOR,Nagoru,,Peri Himal (NW of Himlung Himal),6165,20226,Peri,Annapurna-Damodar-Peri,FALSE,TRUE,FALSE,,,Nepal only,Climbed,2016,Autumn,Oct,21,NGOR16301,"Austria, Nepal","Wolfgang Drexler, Lawang Tamang",
NILC,Nilgiri Central,,Annapurna-Nilgiri Himal (NW of Annapurna I),6940,22769,Annapurna,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1979,Spring,Apr,30,NILC79101,Japan,"Kohichi Sakata, Yasuo Tsuda",
NILE,Nilgiri East,,Annapurna-Nilgiri Himal (NNW of Annapurna I),6698,21975,Annapurna,Annapurna-Damodar-Peri,FALSE,TRUE,FALSE,,,Nepal only,Climbed,1970,Autumn,Nov,,,Spain,"Jorge Matas, Manuel Martin",Illegal Ascent
NILN,Nilgiri North,,Annapurna-Nilgiri Himal (NW of Annapurna I),7061,23166,Annapurna,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1962,Autumn,Oct,19,NILN62301,"Netherlands, France, Nepal","Lionel Terray, H. G. Van Lookern Campagne, P. Van Lookern Campagne, P. F. J. Van Lookern Campagne, Wangdi Sherpa",
NILS,Nilgiri South,,Annapurna-Nilgiri Himal (NW of Annapurna I),6839,22438,Annapurna,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1978,Autumn,Oct,10,NILS78301,Japan,"Kazuo Mitsui, Taichi Fujimatsu, Yoshiaki Kato, Nobuhito Morota, Seiji Tanaka, Hideki Yoshida",
NORB,Norbu Kang,Norbu Khang,Kanjiroba Himal (SE of Phoksumdo Tal),6085,19964,Kanjiroba,Kanjiroba-Far West,TRUE,FALSE,FALSE,,Opened in 2002,Nepal only,Climbed,2003,Summer,Jun,25,NORB03201,"Japan, Nepal","Tamotsu Ohnishi, Tazuko Inoue, Koji Mizutani, Takehiro Yanigahara, Chuldim Nuru Sherpa, Kancha Dawa Sherpa",2010 German team says 2003 Japanese team did not climb main peak
NPHU,Narphu,,"Damodar Himal (WNW of Pisang Peak, E of Chulu East Peak)",5921,19426,Damodar,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,,,Nepal only,Climbed,2014,Autumn,Nov,22,NPHU14301,"UK, Nepal","Brian Jackson, Heather Bentley, Catherine Husted, Dawn Richardson, James Salt, Rhiannon Thomson, Mingma Dorje Sherpa, Pasang Sherpa Shikhar Pandey",1st official ascent
NREK,Nirekha,,Khumbu Himal (NW of Lobuje Peak),6159,20207,Khumbu,Khumbu-Rolwaling-Makalu,FALSE,FALSE,TRUE,2002,Opened in 2002 as trekking peak,Nepal only,Climbed,,,,,,,1st ascent unknown,Climbing history unknown
NUMB,Numbur,,Rolwaling Himal (SW of Namche Bazar),6958,22828,Rolwaling,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1963,Spring,May,29,NUMB63101,"Japan, Nepal","Hiroshi Matsuo, Mingma Tsering Sherpa",
NUMR,Numri,,"Khumbu Himal (S of Cho Polu, N of Baruntse)",6635,21768,Khumbu,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,Opened in 2002,Nepal only,Climbed,2002,Autumn,Nov,7,NUMR02301,Germany,"Olaf Rieck, Carsten Schmidt, Lydia Schubert",
NUPE,Nuptse East I,,Khumbu Himal (E of Nuptse main summit),7795,25574,Khumbu,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,Requires permit for Nuptse,Nepal only,Climbed,2003,Autumn,Nov,2,NUPE03301,Russia,"Valeri Babanov, Yuri Kochelenko",
NUPK,Nupche Kang,"Friendship Peak, Nupche Himal",Khumbu Himal (ESE of Nangpa La on Tibetan border),6576,21575,Khumbu,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,Opened in 2014,Nepal & China,Climbed,1964,Spring,Apr,6,NUPK64101,"W Germany, Nepal","Fritz Stammberger, Aila Sherpa",
NUPL,Nup La Kang,Nupla Khang,Khumbu Himal (N of Nup La on Tibetan border),6861,22510,Khumbu,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,Opened in 2014,Nepal & China,Climbed,2018,Autumn,Nov,2,NUPL18301,"USA, Norway, Nepal","Garrett Madison, Kristin Bennett, Joshua Miller, Sidney Pattison, Ingvild Settemsdal, Ben Veres, Ang Phurba Sherpa, Kami Dorje Sherpa, Lhakpa Dendi Sherpa, Pasang Dawa Sherpa, Tashi Sherpa",
NUPT,Nuptse,,Khumbu Himal (SW of Everest),7864,25801,Khumbu,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1961,Spring,May,16,NUPT61101,"UK, Nepal","Dennis Davis, Tashi Sherpa",1st ascent of W Smt (NUPT-884-01)
NUPW,Nuptse West II,Nuptse Nup II,Khumbu Himal (NW of Nuptse main summit),7732,25367,Khumbu,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,Requires permit for Nuptse,Nepal only,Climbed,,,,,,,,
OHMI,Ohmi Kangri,,Ohmi Kangri Himal (NW of Kangchenjunga on Tibetan border),6839,22438,Janak/Ohmi Kangri,Kangchenjunga-Janak,TRUE,FALSE,FALSE,,,Nepal & China,Climbed,1985,Spring,Apr,14,OHMI85101,Switzerland,"Andre Rieder, Alain Vaucher",
OMBG,Ombigaichen,Puma Dablam,Khumbu Himal (SE of Ama Dablam),6340,20801,Khumbu,Khumbu-Rolwaling-Makalu,FALSE,FALSE,TRUE,2002,Opened in 2002 as trekking peak,Nepal only,Climbed,1960,Autumn,Nov,18,OMBG60301,"New Zealand, Nepal","Jim Milledge, Ang Tsering Sherpa",
OMBK,Ombak Himal,,Ohmi Kangri Himal (NE of Ombak La in Tibet),6300,20669,Janak/Ohmi Kangri,Kangchenjunga-Janak,FALSE,TRUE,FALSE,,,China only,Unclimbed,,,,,,,Unclimbed?,
OMIT,Omitso Go,Omi Tso Go,Rolwaling Himal (NE of Kang Nachugo on Tibetan border),6332,20774,Rolwaling,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,Opened in 2014,Nepal & China,Climbed,2017,Autumn,Nov,7,OMIT17301,Slovenia,"Luka Plut, Miha Zupin",
OMRC,Omoga Ri Chang,,Khumbu Himal (NNE of Kangtega),6070,19915,Khumbu,Khumbu-Rolwaling-Makalu,FALSE,TRUE,FALSE,,,Nepal only,Unclimbed,,,,,,,Unclimbed,
PALD,Paldor,Bharange,Ganesh Himal (SE of  Ganesh V),5903,19367,Ganesh/Shringi,Manaslu-Ganesh,FALSE,FALSE,TRUE,1978,,Nepal only,Climbed,1949,Summer,,,PALD49201,"UK, Nepal","H. W. Tilman, Peter Lloyd, Tenzing Sherpa, Da Namgyal Sherpa","1st ascent claimed in 1949, but actual 1st ascent may have been in 1974 by John Cleare and Ian Howell"
PAMA,Pama Himal,,Shringi Himal (N of Chamar on Tibetan border),6300,20669,Ganesh/Shringi,Manaslu-Ganesh,TRUE,FALSE,FALSE,,Opened in 2014,Nepal & China,Unclimbed,,,,,,,Unclimbed,
PAN1,Panpoche 1,"Pang Phunch 1, Kutang Himal",Manaslu Himal (NE of Sama village near Tibetan border),6620,21719,Manaslu/Mansiri,Manaslu-Ganesh,TRUE,FALSE,FALSE,,Opened in 2003,Nepal only,Climbed,2019,Autumn,Oct,3,PAN119301,Georgia,"Archil Badriashvi, Bakari Gelashvili, Giorgi Tepnadze",
PAN2,Panpoche 2,Pang Phunch 2,Manaslu Himal (NE of Sama village near Tibetan border),6504,21339,Manaslu/Mansiri,Manaslu-Ganesh,TRUE,FALSE,FALSE,,Opened in 2003,Nepal only,Climbed,2019,Autumn,Sep,22,PAN219301,Georgia,"Archil Badriashvi, Bakari Gelashvili, Giorgi Tepnadze",
PANB,Panbari,,Peri Himal (NW of Larkya La),6905,22654,Peri,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,,Opened in 2002,Nepal only,Climbed,2006,Autumn,Sep,29,PANB06301,Japan,"Yoshimi Kato, Gakuto Komiya, Sayaka Koyama, Kenro Nakajima, Yosuke Urabe",
PAND,Pandra,,Ohmi Kangri Himal (NW of Lhonak),6670,21883,Janak/Ohmi Kangri,Kangchenjunga-Janak,TRUE,FALSE,FALSE,,Opened in 2002,Nepal only,Climbed,2002,Autumn,Oct,16,PAND02301,Denmark,"Allan Christensen, Bo Belvedere Christensen, Jan Mathorne",
PANG,Pangbuk Ri,,Rolwaling Himal (N of Menlung La on Tibetan border),6625,21736,Rolwaling,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,Opened in 2002,Nepal & China,Climbed,2011,Autumn,Nov,11,PANG11301,USA,"David Gottlieb, Chad Kellogg","The Pangbuk that Bourdillon and Colledge climbed on May 29, 1952 was south of Menlung La (thus not Pangbuk Ri)"
PANN,Pangbuk North,Jobo LeCoultre,Rolwaling Himal (NE of Pangbuk Ri on Tibetan border),6478,21253,Rolwaling,Khumbu-Rolwaling-Makalu,FALSE,TRUE,FALSE,,,Nepal & China,Climbed,2013,Autumn,Nov,1,PANN13301,USA,"Scott Adamson, Christopher Wright",
PANT,Panalotapa,"Paniyo Tapa, Paniyo Tippa",Rolwaling Himal (W of Tengkangpoche),6687,21939,Rolwaling,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,Opened in 2003,Nepal only,Climbed,1955,Spring,May,,PANT55101,UK,"Peter Boultbee, Dennis Davis",
PARC,Parchamo,"Parchermo, Parchemuche, Pachermo",Rolwaling Himal (S of Tesi Laptsa),6279,20600,Rolwaling,Khumbu-Rolwaling-Makalu,FALSE,FALSE,TRUE,1978,,Nepal only,Climbed,1955,Spring,Apr,,PARC55101,UK,"Peter Boultbee, Dennis Davis",
PASA,Pasang Lhamu Chuli,Jasemba,Khumbu Himal (W of Cho Oyu & Cho Aui on Tibetan border),7350,24114,Khumbu,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,,Nepal & China,Climbed,1986,Autumn,Oct,12,PASA86301,Japan,"Katsushi Emura, Yukitoshi Endo, Katsuo Matsuki, Yoshihiro Shikoda",
PASH,Pashuwo,Pashubo,Ganesh Himal (N of Lampo on Tibetan border),6177,20266,Ganesh/Shringi,Manaslu-Ganesh,TRUE,FALSE,FALSE,,Opened in 2003,Nepal & China,Unclimbed,,,,,,,Unclimbed,
PATR,Patrasi Himal,Kande Hiunchuli North,Kanjiroba Himal (NE of Kande Huinchuli),6450,21161,Kanjiroba,Kanjiroba-Far West,TRUE,FALSE,FALSE,,,Nepal only,Climbed,2024,Summer,Jun,12,PATR24201,Nepal,"Vinayak Jaya Malla, Pasang Kami Sherpa, Pasang Rinzee SHerpa",
PAWR,Pawar Central,Chaar Baatsa,Pawar Himal (N of Larkya La),6621,21722,Peri,Annapurna-Damodar-Peri,FALSE,TRUE,FALSE,,,Nepal only,Climbed,2015,Spring,May,9,PAWR15101,France,"Paulo Grobel, Frank Bonhomme, Christian Hurgon, Dhan Bahadur Magar, Dipen  Nuppa Bhote, Jangbu Sherpa, Rajan Lama Bhote",
PBUK,Pabuk Kang,Kangata,Ohmi Kangri Himal (E of Nangamari I on Tibetan border),6244,20486,Janak/Ohmi Kangri,Kangchenjunga-Janak,TRUE,FALSE,FALSE,,Opened in 2003,Nepal & China,Unclimbed,,,,,,,Unclimbed,
PEMK,Pemthang Karpo Ri,"Dome Blanc, Kan Karmo",Jugal Himal (NNW of Dorje Lhakpa on Tibetan border),6865,22523,Jugal,Langtang-Jugal,TRUE,FALSE,FALSE,,Opened in 2014,Nepal & China,Climbed,1955,Spring,May,14,PEMK55101,"Switzerland, Nepal","Raymond Lambert, Ang Norbu Sherpa, Kami Tshering Sherpa, Pasang Sherpa, Pemba Gyaltzen Sherpa",
